Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
148,142,16,10,137,130,43,Train/43/00043_00000.png
234,215,26,17,216,196,43,Train/43/00043_00001.png
196,188,31,15,182,171,43,Train/43/00043_00002.png
253,210,49,17,223,192,43,Train/43/00043_00003.png
158,135,16,10,130,123,43,Train/43/00043_00004.png
190,168,19,14,166,153,43,Train/43/00043_00005.png
205,185,39,13,186,166,43,Train/43/00043_00006.png
205,185,0,12,11,89,43,Train/43/00043_00006.png
205,185,24,15,185,168,43,Train/43/00043_00007.png
183,169,21,14,163,149,43,Train/43/00043_00008.png
228,189,32,15,205,171,43,Train/43/00043_00009.png
264,242,24,19,236,218,43,Train/43/00043_00010.png
209,196,24,14,187,179,43,Train/43/00043_00011.png
192,170,20,11,173,155,43,Train/43/00043_00012.png
177,143,30,11,158,130,43,Train/43/00043_00013.png
280,227,43,18,251,207,43,Train/43/00043_00014.png
198,175,31,14,180,157,43,Train/43/00043_00015.png
158,147,23,12,142,133,43,Train/43/00043_00016.png
177,167,17,13,161,151,43,Train/43/00043_00017.png
233,214,29,15,214,193,43,Train/43/00043_00018.png
247,222,20,7,225,201,43,Train/43/00043_00019.png
196,170,25,13,175,155,43,Train/43/00043_00020.png
164,143,20,11,149,129,43,Train/43/00043_00021.png
250,219,34,18,226,198,43,Train/43/00043_00022.png
244,219,30,17,222,195,43,Train/43/00043_00023.png
253,243,24,19,229,220,43,Train/43/00043_00024.png
226,228,22,18,208,207,43,Train/43/00043_00025.png
263,249,28,6,240,225,43,Train/43/00043_00026.png
225,183,37,15,203,167,43,Train/43/00043_00027.png
289,251,32,20,262,227,43,Train/43/00043_00028.png
156,135,16,11,137,123,43,Train/43/00043_00029.png
192,182,22,15,175,162,43,Train/43/00043_00030.png
186,155,31,13,154,141,43,Train/43/00043_00031.png
247,199,23,16,214,181,43,Train/43/00043_00032.png
150,150,13,10,137,139,43,Train/43/00043_00033.png
209,180,19,16,175,162,43,Train/43/00043_00034.png
279,248,25,21,254,223,43,Train/43/00043_00035.png
177,186,15,22,159,166,43,Train/43/00043_00036.png
188,175,27,14,171,157,43,Train/43/00043_00037.png
192,144,32,12,162,130,43,Train/43/00043_00038.png
271,234,28,22,232,206,43,Train/43/00043_00039.png
301,249,37,21,256,226,43,Train/43/00043_00040.png
252,206,45,15,212,188,43,Train/43/00043_00041.png
254,221,26,17,229,199,43,Train/43/00043_00042.png
227,197,40,15,187,181,43,Train/43/00043_00043.png
246,226,29,16,227,207,43,Train/43/00043_00044.png
200,185,18,15,189,180,43,Train/43/00043_00045.png
222,191,25,15,189,172,43,Train/43/00043_00046.png
258,221,25,17,233,200,43,Train/43/00043_00047.png
210,189,24,11,188,171,43,Train/43/00043_00048.png
184,165,22,11,166,147,43,Train/43/00043_00049.png
168,149,19,11,150,133,43,Train/43/00043_00050.png
146,129,17,10,132,115,43,Train/43/00043_00051.png
248,223,32,14,222,199,43,Train/43/00043_00052.png
270,242,33,19,245,217,43,Train/43/00043_00053.png
187,166,21,13,167,148,43,Train/43/00043_00054.png
224,199,28,16,202,177,43,Train/43/00043_00055.png
140,132,12,12,123,114,43,Train/43/00043_00056.png
236,236,22,31,206,196,43,Train/43/00043_00057.png
171,158,20,12,141,138,43,Train/43/00043_00058.png
208,200,23,14,193,184,43,Train/43/00043_00059.png
196,180,22,14,181,165,43,Train/43/00043_00060.png
170,163,26,13,158,149,43,Train/43/00043_00061.png
267,221,41,17,239,202,43,Train/43/00043_00062.png
267,227,30,12,226,211,43,Train/43/00043_00063.png
209,184,22,15,190,167,43,Train/43/00043_00064.png
234,211,48,15,200,188,43,Train/43/00043_00065.png
217,195,25,16,194,175,43,Train/43/00043_00066.png
182,168,21,14,158,148,43,Train/43/00043_00067.png
300,249,49,21,270,226,43,Train/43/00043_00068.png
164,151,19,12,148,135,43,Train/43/00043_00069.png
232,218,23,17,207,199,43,Train/43/00043_00070.png
174,154,17,12,158,140,43,Train/43/00043_00071.png
285,230,47,19,252,210,43,Train/43/00043_00072.png
179,145,26,11,163,130,43,Train/43/00043_00073.png
261,230,39,19,237,207,43,Train/43/00043_00074.png
177,165,26,13,160,148,43,Train/43/00043_00075.png
208,196,22,14,190,177,43,Train/43/00043_00076.png
256,235,36,18,233,212,43,Train/43/00043_00077.png
271,243,26,6,249,218,43,Train/43/00043_00078.png
253,220,36,17,228,200,43,Train/43/00043_00079.png
179,157,21,13,163,141,43,Train/43/00043_00080.png
261,229,36,19,235,208,43,Train/43/00043_00081.png
206,185,23,13,186,163,43,Train/43/00043_00082.png
239,230,28,19,215,210,43,Train/43/00043_00083.png
185,186,18,14,170,168,43,Train/43/00043_00084.png
219,208,23,6,200,190,43,Train/43/00043_00085.png
281,228,42,19,257,209,43,Train/43/00043_00086.png
270,236,32,19,246,213,43,Train/43/00043_00087.png
290,251,27,20,260,228,43,Train/43/00043_00088.png
135,128,18,11,122,114,43,Train/43/00043_00089.png
214,179,22,15,184,163,43,Train/43/00043_00090.png
183,147,17,12,159,134,43,Train/43/00043_00091.png
182,182,16,17,167,168,43,Train/43/00043_00092.png
199,171,18,15,176,154,43,Train/43/00043_00093.png
270,239,23,19,247,215,43,Train/43/00043_00094.png
224,235,20,29,201,212,43,Train/43/00043_00095.png
224,209,35,18,201,189,43,Train/43/00043_00096.png
186,140,28,14,159,126,43,Train/43/00043_00097.png
290,250,32,25,247,222,43,Train/43/00043_00098.png
241,200,26,17,201,181,43,Train/43/00043_00099.png
294,240,53,18,247,219,43,Train/43/00043_00100.png
257,222,27,17,224,203,43,Train/43/00043_00101.png
268,233,36,17,229,212,43,Train/43/00043_00102.png
271,250,32,18,250,228,43,Train/43/00043_00103.png
191,177,17,13,180,165,43,Train/43/00043_00104.png
265,228,27,19,235,207,43,Train/43/00043_00105.png
264,226,31,17,239,204,43,Train/43/00043_00106.png
219,196,28,13,197,175,43,Train/43/00043_00107.png
191,171,24,10,171,153,43,Train/43/00043_00108.png
287,255,33,19,259,227,43,Train/43/00043_00109.png
281,249,35,20,254,223,43,Train/43/00043_00110.png
273,245,30,15,246,219,43,Train/43/00043_00111.png
230,207,26,12,206,188,43,Train/43/00043_00112.png
252,223,31,18,228,199,43,Train/43/00043_00113.png
178,158,20,12,160,141,43,Train/43/00043_00114.png
252,237,22,19,221,205,43,Train/43/00043_00115.png
148,148,14,19,128,121,43,Train/43/00043_00116.png
168,155,20,11,136,133,43,Train/43/00043_00117.png
215,196,20,14,199,177,45,Train/45/00045_00000.png
205,190,16,13,192,173,45,Train/45/00045_00001.png
215,203,21,16,198,182,45,Train/45/00045_00002.png
181,164,16,11,165,147,45,Train/45/00045_00003.png
220,207,20,16,204,187,45,Train/45/00045_00004.png
232,215,33,15,218,196,45,Train/45/00045_00005.png
142,152,11,8,130,138,45,Train/45/00045_00006.png
243,244,19,12,223,223,45,Train/45/00045_00007.png
145,146,11,6,133,135,45,Train/45/00045_00008.png
153,167,11,17,140,152,45,Train/45/00045_00009.png
146,159,11,14,134,144,45,Train/45/00045_00010.png
236,247,19,19,215,226,45,Train/45/00045_00011.png
157,165,12,12,144,150,45,Train/45/00045_00012.png
145,152,12,13,131,140,45,Train/45/00045_00013.png
203,214,15,19,182,194,45,Train/45/00045_00014.png
163,167,14,13,149,155,45,Train/45/00045_00015.png
216,220,17,17,197,205,45,Train/45/00045_00016.png
182,195,14,13,166,179,45,Train/45/00045_00017.png
202,216,13,14,184,197,45,Train/45/00045_00018.png
189,195,15,15,171,181,45,Train/45/00045_00019.png
207,222,13,13,189,203,45,Train/45/00045_00020.png
141,141,6,5,134,128,45,Train/45/00045_00021.png
161,176,13,14,148,161,45,Train/45/00045_00022.png
214,215,17,8,198,199,45,Train/45/00045_00023.png
236,247,18,17,217,227,45,Train/45/00045_00024.png
165,180,13,14,151,165,45,Train/45/00045_00025.png
245,259,20,24,220,237,45,Train/45/00045_00026.png
194,198,15,15,177,185,45,Train/45/00045_00027.png
200,209,15,14,184,192,45,Train/45/00045_00028.png
160,171,9,12,146,157,45,Train/45/00045_00029.png
224,237,18,21,201,216,45,Train/45/00045_00030.png
205,182,20,18,167,164,45,Train/45/00045_00031.png
175,179,14,12,159,166,45,Train/45/00045_00032.png
154,165,13,10,140,152,45,Train/45/00045_00033.png
148,153,12,12,134,139,45,Train/45/00045_00034.png
196,180,17,13,182,163,45,Train/45/00045_00035.png
173,160,23,11,162,146,45,Train/45/00045_00036.png
233,219,22,18,216,198,45,Train/45/00045_00037.png
221,200,20,14,201,179,45,Train/45/00045_00038.png
215,203,19,16,200,183,45,Train/45/00045_00039.png
186,172,18,12,174,156,45,Train/45/00045_00040.png
200,214,14,12,183,194,45,Train/45/00045_00041.png
217,218,7,6,199,203,45,Train/45/00045_00042.png
189,190,14,9,173,174,45,Train/45/00045_00043.png
155,170,13,13,142,156,45,Train/45/00045_00044.png
182,199,15,16,167,181,45,Train/45/00045_00045.png
137,143,10,10,126,131,45,Train/45/00045_00046.png
161,168,12,12,148,153,45,Train/45/00045_00047.png
191,201,15,19,172,182,45,Train/45/00045_00048.png
140,148,12,15,125,134,45,Train/45/00045_00049.png
136,139,10,10,124,129,45,Train/45/00045_00050.png
157,160,13,12,143,148,45,Train/45/00045_00051.png
237,254,14,19,216,235,45,Train/45/00045_00052.png
247,264,17,18,225,244,45,Train/45/00045_00053.png
181,187,15,15,164,170,45,Train/45/00045_00054.png
224,241,17,13,205,220,45,Train/45/00045_00055.png
195,196,12,5,179,184,45,Train/45/00045_00056.png
